Mpatch,Len_m,XCoord,YCoord,Area
cla01,619,227482,906983,cla
cla02,419,228127,906744,cla
cla03,695,227504,906394,cla
cla04,725,227270,906538,cla
cla05,695,226684,906110,cla
cla06,645,226439,905821,cla
cla07,577,226268,905633,cla
cla08,617,227866,906798,cla
cro0103,2578,222451,908701,cro
cro0405,777,222453,907735,cro
cro06,565,222762,907515,cro
cro0708,1924,224119,908605,cro
cro0708b,1032,224126,908288,cro
cro09,393,225740,909025,cro
cro10,1494,225461,908618,cro
cro1115,1652,225984,908246,cro
cro12,371,225583,907789,cro
cro13,2051,226368,907833,cro
cro1617,1313,224618,908195,cro
cro18,1543,225496,906074,cro
cro19,556,224673,905011,cro
cro20,480,224445,904800,cro
cro21,321,224391,904730,cro
cro2223,1409,224441,904463,cro
cro24,887,225063,910025,cro
cro2526,815,220924,907828,cro
cro27,416,220619,907404,cro
cro28,772,221782,907797,cro
cro29,451,224689,910548,cro
cro30,326,222362,912227,cro
cro31,1349,227562,909600,cro
cro32,786,226933,909208,cro
cro33,207,226674,908461,cro
cro34,167,225580,909442,cro
cro35,240,225645,909376,cro
cro36,229,225286,909762,cro
cro37,176,224421,907035,cro
cro38,90,225352,907277,cro
cro40,214,227164,908726,cro
led01,1122,225637,914066,led
led02,590,226655,913297,led
led03,493,226389,913504,led
led04,341,226815,913403,led
led05,262,226947,913322,led
led06,428,225020,914350,led
led0708,1407,224636,914211,led
led09,344,224703,913476,led
led11,880,223952,913185,led
led12,739,223935,913431,led
led13,179,226831,915389,led
led1415,1063,227061,915877,led
led16,268,224838,915184,led
led17,224,224941,916071,led
led18,674,225103,916864,led
led19,581,225019,918518,led
led2021,572,224457,918742,led
led2223,825,227352,918977,led
led2425,1948,228487,919352,led
led2728,670,226382,920330,led
ledx,134,227826,920250,led
lei01,227,218939,927270,lei
lei0203,1070,219385,927972,lei
lei04,963,219487,927309,lei
lei05,270,219597,928236,lei
lei0607,1084,218999,928850,lei
lei08,1000,218558,929432,lei
lei09,634,219489,926573,lei
lei10,576,219794,926483,lei
lei11,308,216893,927333,lei
lei11b,93,217045,927096,lei
lei11c,683,217424,927268,lei
lei12,489,218296,927765,lei
lei1317,1986,216450,931370,lei
lei18,462,217258,931441,lei
lei19,652,217588,930869,lei
lei20,515,217656,930634,lei
lei21,356,215953,930743,lei
lei22,294,218053,929771,lei
lei2324,505,215042,930732,lei
lei25,679,217105,930533,lei
lei26,1018,218124,928050,lei
sgi0103,1024,223310,925029,sgi
sgi02,335,223683,924988,sgi
sgi0407,1423,223054,926722,sgi
sgi0810,1296,223262,927523,sgi
sgi11,889,222620,927462,sgi
sgi1213,1716,223722,928267,sgi
sgi14,630,222561,925372,sgi
sgi15,543,222042,925925,sgi
sgi16,132,221706,925573,sgi
sgi17,330,223827,929406,sgi
sgi1819,443,223502,929246,sgi
sgi19b,91,223355,929133,sgi
sgi20,158,223204,929121,sgi
sgi21,241,222548,928402,sgi
sgi22,416,222351,928510,sgi
sgi23,274,221798,928132,sgi
sgi2425,971,221555,927807,sgi
sgi26,289,220636,928263,sgi
sgi27,133,221290,928380,sgi
sgi28,398,221765,928834,sgi
sgi29,335,223492,930162,sgi
sgi30,387,221637,932045,sgi
sgi31,503,222222,930878,sgi
sgi32,270,222307,930288,sgi
sgi33,344,222534,929643,sgi
sgi34,447,221183,925747,sgi
sgi35,165,221163,925895,sgi
sgi3637,776,221707,926072,sgi
sgi36b,346,221721,926404,sgi
sgi38,290,225083,923661,sgi
sgi39,219,225001,923849,sgi
sgi4043,2566,224528,924724,sgi
sgi44,558,224342,924573,sgi
sgi46,271,221295,927897,sgi
sgi49,296,223798,929804,sgi
sgi50,477,221736,929072,sgi
